"店铺名称2","店铺连接","店铺名称","掌柜ID","产品标题","产品链接","价格1","积累评论数量","价格","字段6","字段7","追评","时间","字段22","字段9","图片1","图片2","追平1","追平2","追评3","追评4","字段17"
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","w***6（匿名）","宝贝收到了，物流挺快的。鞋子款式新，做工细，号码正，穿上很舒服，价格也很实惠。",,"2018年01月26日 20:21",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","淘***1（匿名）","鞋子收到了，潮流风效果超级棒，质量也不错大小码刚好，大爱、好评！",,"2018年01月19日 21:21",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","小***枚（匿名）","尺码很标准，质量也很满意，当初买的时候也没让老公看，没想到鞋子到了后老公还挺喜欢的",,"2018年01月27日 11:45",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","悠***2（匿名）","鞋子很不错，老公穿上刚刚好，很舒服，质量相当不错的",,"2018年01月28日 12:51",,"颜色分类：高帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","爱***为（匿名）","鞋子收到了，码很准，穿上很舒适，而且质量非常好，挑了几家选的这家，没选错！",,"2018年01月25日 18:25",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","馨***8（匿名）","喜欢的朋友赶紧下单吧 鞋子绝对会令你满意的 时尚轻便   喜欢",,"2018年01月30日 14:35",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","q***6（匿名）","鞋子收到了，快递给力，版型休闲，透气性好，走路不累脚，客服推荐的尺码合适，价格实惠",,"2018年01月26日 16:48",,"颜色分类：白色",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","t***2（匿名）","鞋子收到了，看上去挺不错的，穿上试了试，店主推荐的码数很合脚，姐挺喜欢的。好评！",,"2018年01月25日 19:28",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","那***蓝（匿名）","鞋子很漂亮，个人很喜欢！",,"2018年02月01日 12:30",,"颜色分类：高帮","https://img.alicdn.com/imgextra/i1/0/TB2iyNJXhuTBuNkHFNRXXc9qpXa_!!0-rate.jpg_40x40.jpg",,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","小***6（匿名）","鞋子收到了特别喜欢穿起来很舒服大小也刚好穿着到街上跑了两圈都感觉不到累特别棒",,"2018年01月20日 14:49",,"颜色分类：低帮",,,,,,,
